Team #,CMP,Event,P(DCMP)
5229,2024micmp,FIRST in Michigan State Championship,0
5231,2024micmp,FIRST in Michigan State Championship,0
5234,2024micmp,FIRST in Michigan State Championship,0
5235,2024micmp,FIRST in Michigan State Championship,0
5239,2024micmp,FIRST in Michigan State Championship,0
5247,2024micmp,FIRST in Michigan State Championship,0
5248,2024micmp,FIRST in Michigan State Championship,0
5256,2024micmp,FIRST in Michigan State Championship,0
5260,2024micmp,FIRST in Michigan State Championship,0
5263,2024micmp,FIRST in Michigan State Championship,0
5282,2024micmp,FIRST in Michigan State Championship,0
5314,2024micmp,FIRST in Michigan State Championship,0
5424,2024micmp,FIRST in Michigan State Championship,0
5436,2024micmp,FIRST in Michigan State Championship,1
5460,2024micmp,FIRST in Michigan State Championship,1
5462,2024micmp,FIRST in Michigan State Championship,0
5467,2024micmp,FIRST in Michigan State Championship,0
5470,2024micmp,FIRST in Michigan State Championship,0
5478,2024micmp,FIRST in Michigan State Championship,0
548,2024micmp,FIRST in Michigan State Championship,1
5486,2024micmp,FIRST in Michigan State Championship,0
5498,2024micmp,FIRST in Michigan State Championship,0
5501,2024micmp,FIRST in Michigan State Championship,0
5504,2024micmp,FIRST in Michigan State Championship,0
5505,2024micmp,FIRST in Michigan State Championship,1
5509,2024micmp,FIRST in Michigan State Championship,0
5517,2024micmp,FIRST in Michigan State Championship,0
5525,2024micmp,FIRST in Michigan State Championship,0
5527,2024micmp,FIRST in Michigan State Championship,0
5530,2024micmp,FIRST in Michigan State Championship,1
5531,2024micmp,FIRST in Michigan State Championship,0
5532,2024micmp,FIRST in Michigan State Championship,0
5533,2024micmp,FIRST in Michigan State Championship,1
5534,2024micmp,FIRST in Michigan State Championship,1
5535,2024micmp,FIRST in Michigan State Championship,0
5538,2024micmp,FIRST in Michigan State Championship,0
5547,2024micmp,FIRST in Michigan State Championship,0
5555,2024micmp,FIRST in Michigan State Championship,0
5559,2024micmp,FIRST in Michigan State Championship,0
5560,2024micmp,FIRST in Michigan State Championship,0
5561,2024micmp,FIRST in Michigan State Championship,1
5567,2024micmp,FIRST in Michigan State Championship,0
5577,2024micmp,FIRST in Michigan State Championship,1
5603,2024micmp,FIRST in Michigan State Championship,0
5610,2024micmp,FIRST in Michigan State Championship,0
5612,2024micmp,FIRST in Michigan State Championship,1
5619,2024micmp,FIRST in Michigan State Championship,0
5623,2024micmp,FIRST in Michigan State Championship,0
5641,2024micmp,FIRST in Michigan State Championship,1
5642,2024micmp,FIRST in Michigan State Championship,0
5660,2024micmp,FIRST in Michigan State Championship,0
5674,2024micmp,FIRST in Michigan State Championship,0
5675,2024micmp,FIRST in Michigan State Championship,1
5676,2024micmp,FIRST in Michigan State Championship,1
5695,2024micmp,FIRST in Michigan State Championship,0
5697,2024micmp,FIRST in Michigan State Championship,0
5702,2024micmp,FIRST in Michigan State Championship,0
5704,2024micmp,FIRST in Michigan State Championship,0
5706,2024micmp,FIRST in Michigan State Championship,0
5708,2024micmp,FIRST in Michigan State Championship,0
5712,2024micmp,FIRST in Michigan State Championship,1
573,2024micmp,FIRST in Michigan State Championship,0
5756,2024micmp,FIRST in Michigan State Championship,0
5843,2024micmp,FIRST in Michigan State Championship,0
5860,2024micmp,FIRST in Michigan State Championship,0
5878,2024micmp,FIRST in Michigan State Championship,0
5901,2024micmp,FIRST in Michigan State Championship,1
5907,2024micmp,FIRST in Michigan State Championship,1
5926,2024micmp,FIRST in Michigan State Championship,0
5927,2024micmp,FIRST in Michigan State Championship,0
5980,2024micmp,FIRST in Michigan State Championship,0
5982,2024micmp,FIRST in Michigan State Championship,0
6002,2024micmp,FIRST in Michigan State Championship,1
6005,2024micmp,FIRST in Michigan State Championship,0
6029,2024micmp,FIRST in Michigan State Championship,0
6033,2024micmp,FIRST in Michigan State Championship,0
6057,2024micmp,FIRST in Michigan State Championship,0
6067,2024micmp,FIRST in Michigan State Championship,0
6071,2024micmp,FIRST in Michigan State Championship,0
6073,2024micmp,FIRST in Michigan State Championship,0
6077,2024micmp,FIRST in Michigan State Championship,0
6078,2024micmp,FIRST in Michigan State Championship,1
6079,2024micmp,FIRST in Michigan State Championship,0
6081,2024micmp,FIRST in Michigan State Championship,1
6085,2024micmp,FIRST in Michigan State Championship,1
6087,2024micmp,FIRST in Michigan State Championship,0
6088,2024micmp,FIRST in Michigan State Championship,0
6090,2024micmp,FIRST in Michigan State Championship,1
6091,2024micmp,FIRST in Michigan State Championship,0
6094,2024micmp,FIRST in Michigan State Championship,0
6096,2024micmp,FIRST in Michigan State Championship,0
6097,2024micmp,FIRST in Michigan State Championship,0
6098,2024micmp,FIRST in Michigan State Championship,0
6099,2024micmp,FIRST in Michigan State Championship,0
6100,2024micmp,FIRST in Michigan State Championship,0
6101,2024micmp,FIRST in Michigan State Championship,0
6112,2024micmp,FIRST in Michigan State Championship,0
6113,2024micmp,FIRST in Michigan State Championship,1
6114,2024micmp,FIRST in Michigan State Championship,0
6120,2024micmp,FIRST in Michigan State Championship,1
6121,2024micmp,FIRST in Michigan State Championship,1
6122,2024micmp,FIRST in Michigan State Championship,0
6128,2024micmp,FIRST in Michigan State Championship,0
6150,2024micmp,FIRST in Michigan State Championship,0
6152,2024micmp,FIRST in Michigan State Championship,1
6190,2024micmp,FIRST in Michigan State Championship,0
6344,2024micmp,FIRST in Michigan State Championship,0
6345,2024micmp,FIRST in Michigan State Championship,0
6428,2024micmp,FIRST in Michigan State Championship,0
6528,2024micmp,FIRST in Michigan State Championship,1
6532,2024micmp,FIRST in Michigan State Championship,0
6533,2024micmp,FIRST in Michigan State Championship,0
6538,2024micmp,FIRST in Michigan State Championship,1
6548,2024micmp,FIRST in Michigan State Championship,1
6556,2024micmp,FIRST in Michigan State Championship,0
6558,2024micmp,FIRST in Michigan State Championship,0
6566,2024micmp,FIRST in Michigan State Championship,0
6567,2024micmp,FIRST in Michigan State Championship,0
6569,2024micmp,FIRST in Michigan State Championship,1
6570,2024micmp,FIRST in Michigan State Championship,1
6588,2024micmp,FIRST in Michigan State Championship,0
6591,2024micmp,FIRST in Michigan State Championship,0
66,2024micmp,FIRST in Michigan State Championship,0
6610,2024micmp,FIRST in Michigan State Championship,0
6615,2024micmp,FIRST in Michigan State Championship,1
6616,2024micmp,FIRST in Michigan State Championship,0
6618,2024micmp,FIRST in Michigan State Championship,1
6631,2024micmp,FIRST in Michigan State Championship,0
6637,2024micmp,FIRST in Michigan State Championship,0
6642,2024micmp,FIRST in Michigan State Championship,0
67,2024micmp,FIRST in Michigan State Championship,1
6753,2024micmp,FIRST in Michigan State Championship,0
68,2024micmp,FIRST in Michigan State Championship,1
6861,2024micmp,FIRST in Michigan State Championship,0
6877,2024micmp,FIRST in Michigan State Championship,0
6914,2024micmp,FIRST in Michigan State Championship,0
6963,2024micmp,FIRST in Michigan State Championship,0
70,2024micmp,FIRST in Michigan State Championship,1
7054,2024micmp,FIRST in Michigan State Championship,0
7056,2024micmp,FIRST in Michigan State Championship,1
7109,2024micmp,FIRST in Michigan State Championship,0
7145,2024micmp,FIRST in Michigan State Championship,0
7147,2024micmp,FIRST in Michigan State Championship,0
7154,2024micmp,FIRST in Michigan State Championship,1
7155,2024micmp,FIRST in Michigan State Championship,0
7160,2024micmp,FIRST in Michigan State Championship,0
7166,2024micmp,FIRST in Michigan State Championship,1
7174,2024micmp,FIRST in Michigan State Championship,1
7178,2024micmp,FIRST in Michigan State Championship,1
7188,2024micmp,FIRST in Michigan State Championship,0
7191,2024micmp,FIRST in Michigan State Championship,0
7195,2024micmp,FIRST in Michigan State Championship,0
7196,2024micmp,FIRST in Michigan State Championship,0
7197,2024micmp,FIRST in Michigan State Championship,1
7202,2024micmp,FIRST in Michigan State Championship,0
7203,2024micmp,FIRST in Michigan State Championship,0
7210,2024micmp,FIRST in Michigan State Championship,0
7211,2024micmp,FIRST in Michigan State Championship,1
7220,2024micmp,FIRST in Michigan State Championship,0
7221,2024micmp,FIRST in Michigan State Championship,0
7224,2024micmp,FIRST in Michigan State Championship,0
7225,2024micmp,FIRST in Michigan State Championship,0
7226,2024micmp,FIRST in Michigan State Championship,1
7247,2024micmp,FIRST in Michigan State Championship,0
7248,2024micmp,FIRST in Michigan State Championship,0
7250,2024micmp,FIRST in Michigan State Championship,0
